period,slice,threshold,rows,positives,negatives,tp,fp,tn,fn,slip_rate,volume_reduction,manual_review_rate,target_met
training,0,-6.565223264215007,296073,1927,294146,1908,286113,8033,19,0.009859885832900882,0.02730956735770672,0.9728040044178294,False
future_all,0,-6.565223264215007,144201,2695,141506,2652,137742,3764,43,0.01595547309833024,0.026599578816445944,0.973599350906027,False
future_slice,1,-6.565223264215007,26745,226,26519,224,25440,1079,2,0.008849557522123894,0.04068780874090275,0.9595812301364741,False
future_slice,2,-6.565223264215007,28265,144,28121,141,27587,534,3,0.020833333333333332,0.018989367376693576,0.981001238280559,False
future_slice,3,-6.565223264215007,23919,178,23741,172,22788,953,6,0.033707865168539325,0.040141527315614337,0.9599063505999414,False
future_slice,4,-6.565223264215007,20321,778,19543,767,18767,776,11,0.014138817480719794,0.03970731208105204,0.9612715909650116,False
future_slice,5,-6.565223264215007,44951,1369,43582,1348,43160,422,21,0.015339663988312637,0.009682896608691661,0.9901448243643078,False
