period,slice,auroc,threshold,rows,positives,negatives,tp,fp,tn,fn,slip_rate,volume_reduction,manual_review_rate,target_met
train,0,0.9974337545617776,0.000423669791,194929,1602,193327,1602,179781,13546,0,0.0,0.07006781256627373,0.9305080311292829,False
calibration,0,0.8700465495285916,0.000423669791,101144,325,100819,323,99155,1664,2,0.006153846153846154,0.016504825479324334,0.9835284347069525,False
future_all,0,0.8777691418422453,0.000423669791,144201,2695,141506,2672,137030,4476,23,0.008534322820037106,0.03163116758300001,0.9688004937552445,False
future_slice,1,0.9625862672513645,0.000423669791,26745,226,26519,226,26253,266,0,0.0,0.01003054413816509,0.9900542157412601,False
future_slice,2,0.7990672253634097,0.000423669791,28265,144,28121,144,27697,424,0,0.0,0.015077699939546958,0.9849991155138864,False
future_slice,3,0.8864162126014399,0.000423669791,23919,178,23741,177,23511,230,1,0.0056179775280898875,0.009687881723600522,0.990342405618964,False
future_slice,4,0.9203109496730366,0.000423669791,20321,778,19543,775,18072,1471,3,0.0038560411311053984,0.07526991761756127,0.9274641995964765,False
future_slice,5,0.8227216260832916,0.000423669791,44951,1369,43582,1350,41497,2085,19,0.013878743608473338,0.04784085172777752,0.9531934773419947,False
