pathology,strength,runs,label_rule_recovery_mean,overlay_auc_mean,date_auc_mean,positive_row_event_ratio_mean,random_auroc_mean,group_auroc_mean,deployment_auroc_mean,random_group_gap_mean,random_deployment_gap_mean
date_confound,0.0,100,0.6559666666666666,0.493774449762861,0.5323035385791766,1.0,0.8288102543843509,0.8358363344313805,0.8359940621238232,-0.007026080047029711,-0.007183807739472244
date_confound,0.25,100,0.6559666666666666,0.493774449762861,0.8097294139014136,1.0,0.9039779014493964,0.9070587367890919,0.7777112730308232,-0.003080835339695476,0.12626662841857317
date_confound,0.5,100,0.6559666666666666,0.493774449762861,0.9596986459169244,1.0,0.9733493188490691,0.975124534395829,0.7543609133379399,-0.001775215546759862,0.21898840551112933
date_confound,0.75,100,0.6559666666666666,0.493774449762861,0.9957017176568718,1.0,0.9938362903972568,0.9949380839116315,0.7626213854489845,-0.0011017935143747036,0.23121490494827235
date_confound,1.0,100,0.6559666666666666,0.493774449762861,0.9998016457432738,1.0,0.998346321625249,0.9991016376861854,0.77651611127852,-0.0007553160609364685,0.22183021034672895
event_duplication,0.0,100,0.6559666666666666,0.493774449762861,0.5323035385791766,1.0,0.8288102543843509,0.8358363344313805,0.8359940621238232,-0.007026080047029711,-0.007183807739472244
event_duplication,0.25,100,0.6332812366203531,0.493774449762861,0.5323035385791766,3.0,0.9853531217481867,0.8346599277246554,0.8343493171536486,0.15069319402353132,0.15100380459453808
event_duplication,0.5,100,0.6207824886963208,0.493774449762861,0.5323035385791766,5.0,0.9985368253180043,0.8348227179458452,0.8339852258168867,0.163714107372159,0.16455159950111764
event_duplication,0.75,100,0.6098767838740353,0.493774449762861,0.5323035385791766,8.0,1.0,0.8351281799144078,0.8340793046739694,0.16487182008559212,0.16592069532603065
event_duplication,1.0,100,0.6052062758581828,0.493774449762861,0.5323035385791766,10.0,1.0,0.8355266837040596,0.8342134693456977,0.16447331629594042,0.16578653065430232
label_circularity,0.0,100,0.6563333333333334,0.5039252750239817,0.5342111246554859,1.0,0.8397120866353933,0.8475529207977108,0.8352371406416909,-0.007840834162317536,0.004474945993702438
label_circularity,0.25,100,0.7443666666666666,0.5017102932725646,0.5306511384950787,1.0,0.8246753005969356,0.8215122188661569,0.8103535881600876,0.0031630817307787564,0.014321712436848034
label_circularity,0.5,100,0.8320666666666666,0.49941983293264536,0.5303982776096672,1.0,0.8599200210717153,0.8596866005045795,0.7672589645546937,0.00023342056713592129,0.09266105651702157
label_circularity,0.75,100,0.9159666666666666,0.4974161786127491,0.5300863425588603,1.0,0.9168639974383862,0.9217769065691062,0.7274603245707562,-0.004912909130719826,0.18940367286763007
label_circularity,1.0,100,1.0,0.4990884003943639,0.532659860992742,1.0,0.9889848195279821,0.9882191343098147,0.6940605805857042,0.0007656852181673313,0.29492423894227776
verdict_overlay,0.0,100,0.6559666666666666,0.493774449762861,0.5323035385791766,1.0,0.8288102543843509,0.8358363344313805,0.8359940621238232,-0.007026080047029711,-0.007183807739472244
verdict_overlay,0.25,100,0.6559666666666666,0.8508065034918743,0.5323035385791766,1.0,0.9158515521648332,0.9233618384670855,0.7625937064851911,-0.0075102863022522524,0.15325784567964212
verdict_overlay,0.5,100,0.6559666666666666,0.9822145990266266,0.5323035385791766,1.0,0.9834221131685793,0.9859116523567378,0.7492518588235684,-0.0024895391881585693,0.23417025434501096
verdict_overlay,0.75,100,0.6559666666666666,0.9992838836288831,0.5323035385791766,1.0,0.997166362561763,0.9977668295817663,0.7645081581684865,-0.000600467020003348,0.23265820439327645
verdict_overlay,1.0,100,0.6559666666666666,0.999997070580677,0.5323035385791766,1.0,0.9992899736511832,0.9995358848977354,0.7810321477218978,-0.000245911246552174,0.21825782592928536
